created_at,screen_name,text
04/04/2018 12:48,bmeprpros,"Meet #bmeprprosmentee @MabelDayo👋🏾
🕶Account Manager @MeetingPlaceC
🕶Labour Councillor for Bexley (London)
🕶Worked on 2016 Clinton campaign

Read more about her here 👉🏾 https://goo.gl/h3Pn3h 
Mabel will be mentored by #bmeprpro @CharandeepS1ngh of @ScotChambers👏🏾👏🏾👏🏾 https://t.co/LxWm2GLr26"
05/04/2018 15:30,PAPYRUS_tweets,"As part of our #ClassOf2018 campaign, we are working with schools in London to help raise awareness of #suicideprevention.

The @BexleyTimes reports on the excellent response to our recent suicide-safer schools workshop in the area.

https://t.co/rczBp8HtkV

#SaveYoungLives"
07/04/2018 09:42,MikeFRobinson,"Our On-Line Aide-Mémoire &c has been updated viz. Our First Butterfly' Sightings in the London Borough of Bexley: 2015, 2016, 2017 and 2018 [hopefully at last, the Weather is improving and the Butterflies are finally coming out to play] https://t.co/kJ3FNsfMCP"
04/04/2018 10:41,VictorianWeb,"#OTD 1865 the fabulous Crossness Pumping Station in Bexley opened--never thought a sewage works could be called fabulous!! It's featured in Philip Davies's ""London: Hidden Interiors"" @EnglishHeritage Review at  https://t.co/Bo70KgW0ao https://t.co/rbic0prFUQ"
05/04/2018 11:10,JamesKanag,"Interesting analysis here but the Tories aren‚Äôt at risk of losing all councils. Bexley+Bromley likely to stay blue. Expect big Tory gains in Havering/Sutton. Hillingdon looks like a hold. Kingston, Richmond, Barnet, Wandsworth and Westminster all v.close https://t.co/EMTXUUI7MZ"
