created_at,screen_name,text
03/04/2018 22:32,MagnusWoods,"So a wee update on my exciting day. I didn't break my arm, but dislocated my elbow pretty convincingly. Massive thanks to London Ambulance service, Kingston Hospital, the staff at White Spider climbing wall and @allanrmacneil and Thom for sticking with me through the whole thing! https://t.co/3I7clFRhue"
08/04/2018 15:19,Alfiewilk,Going out in London last night made me realise how shit Kingston and bmouth clubs are
05/04/2018 23:36,RockneCorrigan,"Talking about gentrification in Hamilton, London, and Kingston on tonight's episode of @TheAgenda. 8pm/11pm on TVO. Tune in! https://t.co/JEsI4GXFzY"
07/04/2018 09:48,BrianBrodersen,"Coffee with the Dingmans in Kingston Upon Thames @beanberrycoffee @ Kingston Bridge, London https://t.co/TH4p1iuftX"
03/04/2018 16:24,surrey_social,We enjoyed George's Marvellous Medicine @Rosetheatre so much - I would highly recommend you get your tickets! Thanks for sharing this great article @WhatsOnStage https://t.co/op4M51kqTt #kingstonuponthames #theatre https://t.co/Xe5sT93qXl
