created_at,screen_name,text
07/04/2018 16:52,cathedralsdavid,"Great to see Sutton’s Lib Dem Council topping the list of the greenest London Council. Vote for @swklibdems to install LED street lights, put solar panels on our council blocks, increase our recycling rates &amp; sustainable modes of travel  https://t.co/m9EZdjNm1a"
06/04/2018 17:00,NetworkRailSE,"Last wkd we completed a 5 year project to replace every single signal – the railway’s equivalent of traffic lights – on the Sutton/Wimbledon loop, covering 37 miles of track.
Here one of our engineers explains why &amp; how we did it
@SouthernRailUK @TLRailUK 
https://t.co/Z7hLlhbXL1 https://t.co/SzHMqu57wU"
30/03/2018 15:55,thomasbrake,"Great to see the commitment of the Sutton Lib Dem-run Council to the South London Skills Strategy. This will help to develop a sustainable workforce, boosting economic productivity and growth in the borough. https://t.co/pRmbi2ijZQ"
31/03/2018 17:59,ASuttonResident,"Remember.. no matter which Borough you are in all the main parties are complicit in the @VeoliaUK experience.. 

South London Waste Partnership

Croydon = Labour
Merton = Labour 
Sutton = Liberal Democrates
Kingston = Conservative 

#SuttonBinShame #MuckyMerton"
02/04/2018 16:13,sincebarnes,"More stewards at the Sutton United match than London Stadium. 

Final score and huge upset: @suttonunited 0 - 3 @bromleyfc 

@ATPradio does Conference Premier. https://t.co/8fndBl05EY"
