created_at,screen_name,text
05/04/2018 17:12,MapScaping,"Aerial Photograph of the River Thames flowing through London.

Source: https://t.co/6bq5Uq2IQi

#aerial #aerialphotography #london #thames #riverthames #bridge #bridges #centrallondon #cityoflondon #uk #unitedkingdom #capital #britain #england #greatbritain #greaterlondon https://t.co/hXMEqZXRzq"
03/04/2018 12:36,Sylindria,The long legs of the law #CityPoliceHorses #CityOfLondon #London https://t.co/U3dH4UbJ5B
06/04/2018 20:13,Juvelad,Delivering the tower blocks of #Waterloo #BishopsWard across the rooftops of the #CityofLondon @LondonGherkin @CheesegraterLdn in the background on a barmy #Friday evening - what could be better!! @AudreyEager @CharleyHasted @Bishops_LibDems @LondonLibDems @LibDems @SalBrinton https://t.co/JO9pUFk5j5
03/04/2018 16:29,streetmax21,Milk040815 ©streetmax21 #500pxrtg #streetphoto #streetphotography  #cityofLondon #London #photography #fujifilm @StreetLondonPS  @Life_is_street https://t.co/EJ3v5IMLaG
05/04/2018 12:32,ydital,When was this picture taken? #BankOfEngland #CityofLondon https://t.co/v2qJaQI3HP
